sourcePak,internalPath,filename,role,width,height,imageType,pixelFormat,clutType,paletteFormat,alphaMin,alphaMax,mipCount,usage,menuStates,presentation,colourModulated,shared,animated,sourceSha256
FE_MAIN.PAK,DATA/ENV/FE_MAIN/WORLD/BANDS.TM2,BANDS.TM2,frame,512,512,5,PSMT8 / IDTEX8,3,RGBA8888 / 256-entry CSM1 CLUT,0,255,1,Four top/bottom border sprites,all main_start states,normalized 255x16 region; four 512x32 sprites clipped at left/right viewport edges,neutral,yes,no,890b882c277ac53d47bd338228f6c358e4522a4078bd45b276896b7a90ed444a
FE_MAIN.PAK,DATA/ENV/FE_MAIN/WORLD/BLACKBOX.TM2,BLACKBOX.TM2,overscan-bars,32,32,5,PSMT8 / IDTEX8,3,RGBA8888 / 256-entry CSM1 CLUT,255,255,1,PAL bar sprites at/outside logical safe-area boundaries,all main_start states,normalized source stretched to overscan bars outside the 512x448 safe area,black,yes,no,64edfbad9b35079001ee0068118d94c732502c6be10b9513465680a58ce31b77
FE_MAIN.PAK,DATA/ENV/FE_MAIN/WORLD/GLOWS.TM2,GLOWS.TM2,decorative-animation,128,128,5,PSMT8 / IDTEX8,3,RGBA8888 / 256-entry CSM1 CLUT,0,255,1,Two logo-area glow emitters; procedural particles omitted from static still,all main_start states,128x128 normalized quadrant used by two procedural 6x6 emitters,neutral emitter default,yes,yes,58842a6f71af0626e0b1dc6285e0294b69f1bd0e20ea5ad453ca6a6d2fff9856
FE_MAIN.PAK,DATA/ENV/FE_MAIN/WORLD/GRAB_05.TM2,GRAB_05.TM2,background,512,512,5,PSMT8 / IDTEX8,3,RGBA8888 / 256-entry CSM1 CLUT,255,255,1,Static overscanned background; RGB modulated 148/128 after titles,all main_start states,"normalized full-page crop; scaled to 640x480 at (-64,-16), then viewport-cropped",RGB 148/128,yes,no,d61e57ba0f7333215309e387bc2a2c010aeb062dbc2dc66efcf71bddf0034889
FE_MAIN.PAK,DATA/ENV/FE_MAIN/WORLD/ICONS.TM2,ICONS.TM2,controller-glyphs,64,64,5,PSMT8 / IDTEX8,3,RGBA8888 / 256-entry CSM1 CLUT,0,255,1,Cross/Triangle visible; Circle/Square share the same global page,all main_start states,four normalized quadrants; native/display size 32x32,neutral,yes,no,d123876cf25b3a807e7f7008717354e546e9b1f793b45cbfe852c8d7c2eb00d2
FE_MAIN.PAK,DATA/ENV/FE_MAIN/WORLD/MISSION_BUILDER.TM2,MISSION_BUILDER.TM2,padlock,256,256,5,PSMT8 / IDTEX8,3,RGBA8888 / 256-entry CSM1 CLUT,0,255,1,Free-play locked-state padlock,all main_start states,46x47 padlock crop downscaled to 32x32,neutral; white flash on rejected confirmation,yes,no,e797aa69b4d064fbbac01c94fe66970ee4d56260f665746e519c0aa477315ecc
FE_MAIN.PAK,DATA/ENV/FE_MAIN/WORLD/SMOKE.TM2,SMOKE.TM2,background-animation,32,32,5,PSMT8 / IDTEX8,3,RGBA8888 / 256-entry CSM1 CLUT,2,238,1,Source for emitter2/emitter4; procedural particles omitted from static still,all main_start states,normalized full-page source for two procedural emitters,emitter colours 26/41/57 and 9/15/21,yes,yes,c91c8777572b3a58e86631fe5408d580248f820809854c2eed2c22f59529f5a1
FE_MAIN.PAK,DATA/ENV/FE_MAIN/WORLD/SPARTAN_LOGO.TM2,SPARTAN_LOGO.TM2,logo,512,512,5,PSMT8 / IDTEX8,3,RGBA8888 / 256-entry CSM1 CLUT,0,255,1,Small logo plus flare layer,all main_start states,two normalized crops displayed 1:1 at 192x64 and 192x16,neutral,yes,no,755e4dd82ec2d29c1dbc45136f9cbf92a25628a4e6859888ad7c7971b6a3e84c
FE_MAIN.PAK,DATA/ENV/FE_MAIN/TEXT/ENGLISH/FONT14.TM2,FONT14.TM2,font,256,256,5,PSMT8 / IDTEX8,3,RGBA8888 / 256-entry CSM1 CLUT,0,255,1,information and controller-prompt text,all main_start states,16x16 glyph grid; per-glyph crop; DIM advances,neutral,yes,no,e2ec1f3b775b0ad6f0b9e99804f25a9f4ed5a8c68ebe3fe7d1495b5403f2afa9
FE_MAIN.PAK,DATA/ENV/FE_MAIN/TEXT/ENGLISH/FONT14.DIM,FONT14.DIM,font-metrics,,,,256 little-endian u16 advances after 64-byte prefix,,,,,,metrics paired with FONT14.TM2,all main_start states,not rendered; supplies horizontal advances,n/a,yes,no,9cccf1ec77d5d2b9866570d351c5dd3d64eea1afbdca8b8dd2c8b0c270f848b9
